,State,State_abbrev,Year,Gender_baby,Education_level,Education_code,Births,Avg_age_mother,Avg_birth_weight(g)
72,Alabama,AL,2020,F,8th grade or less,1,1153,27.6,3100.8
73,Alabama,AL,2020,F,9th through 12th grade with no diploma,2,2763,24.8,3051.5
74,Alabama,AL,2020,F,High school graduate or GED completed,3,9355,25.6,3056.3
75,Alabama,AL,2020,F,"Some college credit, but not a degree",4,5668,27.3,3119.5
76,Alabama,AL,2020,F,"Associate degree (AA, AS)",5,2457,29.1,3170.9
77,Alabama,AL,2020,F,"Bachelor's degree (BA, AB, BS)",6,4307,30.5,3229.5
78,Alabama,AL,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1975,31.9,3229.2
79,Alabama,AL,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,549,33.2,3228.2
80,Alabama,AL,2020,F,Unknown or Not Stated,9,42,29.4,2971.6
81,Alabama,AL,2020,M,8th grade or less,1,1141,27.4,3212.3
82,Alabama,AL,2020,M,9th through 12th grade with no diploma,2,2849,24.5,3121.3
83,Alabama,AL,2020,M,High school graduate or GED completed,3,9656,25.7,3172.3
84,Alabama,AL,2020,M,"Some college credit, but not a degree",4,5840,27.3,3233.1
85,Alabama,AL,2020,M,"Associate degree (AA, AS)",5,2639,29.2,3284.6
86,Alabama,AL,2020,M,"Bachelor's degree (BA, AB, BS)",6,4543,30.4,3347.7
87,Alabama,AL,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2101,32.1,3354.2
88,Alabama,AL,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,572,33.3,3327.8
89,Alabama,AL,2020,M,Unknown or Not Stated,9,37,30.6,3034.6
90,Alabama,AL,2021,F,8th grade or less,1,1183,27.9,3127.1
91,Alabama,AL,2021,F,9th through 12th grade with no diploma,2,2595,24.5,3053.7
92,Alabama,AL,2021,F,High school graduate or GED completed,3,9437,25.8,3070.7
93,Alabama,AL,2021,F,"Some college credit, but not a degree",4,5577,27.6,3099.8
94,Alabama,AL,2021,F,"Associate degree (AA, AS)",5,2441,29,3156.5
95,Alabama,AL,2021,F,"Bachelor's degree (BA, AB, BS)",6,4480,30.5,3217.7
96,Alabama,AL,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2173,31.9,3212.8
97,Alabama,AL,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,577,33,3264.8
98,Alabama,AL,2021,F,Unknown or Not Stated,9,32,27.8,3056.9
99,Alabama,AL,2021,M,8th grade or less,1,1203,27.6,3228.6
100,Alabama,AL,2021,M,9th through 12th grade with no diploma,2,2645,24.4,3132.3
101,Alabama,AL,2021,M,High school graduate or GED completed,3,9728,25.8,3180
102,Alabama,AL,2021,M,"Some college credit, but not a degree",4,5678,27.4,3227.7
103,Alabama,AL,2021,M,"Associate degree (AA, AS)",5,2598,29.2,3269.8
104,Alabama,AL,2021,M,"Bachelor's degree (BA, AB, BS)",6,4786,30.4,3362.4
105,Alabama,AL,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2248,31.8,3349.1
106,Alabama,AL,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,643,33.3,3327.3
107,Alabama,AL,2021,M,Unknown or Not Stated,9,30,27.5,3102
108,Alaska,AK,2016,F,8th grade or less,1,32,28.2,3396
109,Alaska,AK,2016,F,9th through 12th grade with no diploma,2,491,24.5,3288.1
110,Alaska,AK,2016,F,High school graduate or GED completed,3,1603,26.2,3321.2
111,Alaska,AK,2016,F,"Some college credit, but not a degree",4,1442,27.8,3369
112,Alaska,AK,2016,F,"Associate degree (AA, AS)",5,438,29.7,3370.3
113,Alaska,AK,2016,F,"Bachelor's degree (BA, AB, BS)",6,892,31,3353.1
114,Alaska,AK,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,379,32.8,3371.1
115,Alaska,AK,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,86,33.5,3303.1
116,Alaska,AK,2016,F,Unknown or Not Stated,9,81,29.4,3344
117,Alaska,AK,2016,M,8th grade or less,1,44,28.2,3263
118,Alaska,AK,2016,M,9th through 12th grade with no diploma,2,559,24.3,3347.5
119,Alaska,AK,2016,M,High school graduate or GED completed,3,1743,26.1,3436.5
120,Alaska,AK,2016,M,"Some college credit, but not a degree",4,1469,28,3485.8
121,Alaska,AK,2016,M,"Associate degree (AA, AS)",5,468,29.4,3482.9
122,Alaska,AK,2016,M,"Bachelor's degree (BA, AB, BS)",6,956,31,3473.1
123,Alaska,AK,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,340,33.1,3467.9
124,Alaska,AK,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,101,34.4,3505.4
125,Alaska,AK,2016,M,Unknown or Not Stated,9,85,29.6,3412.2
126,Alaska,AK,2017,F,8th grade or less,1,45,28.3,3077.3
127,Alaska,AK,2017,F,9th through 12th grade with no diploma,2,466,24,3241.4
128,Alaska,AK,2017,F,High school graduate or GED completed,3,1522,26.6,3321.5
129,Alaska,AK,2017,F,"Some college credit, but not a degree",4,1323,27.8,3358.6
130,Alaska,AK,2017,F,"Associate degree (AA, AS)",5,420,30,3365
131,Alaska,AK,2017,F,"Bachelor's degree (BA, AB, BS)",6,796,31.3,3373.7
132,Alaska,AK,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,362,33.4,3391.9
133,Alaska,AK,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,93,34,3280.6
134,Alaska,AK,2017,F,Unknown or Not Stated,9,71,29.1,3082.5
135,Alaska,AK,2017,M,8th grade or less,1,43,27.9,3315
136,Alaska,AK,2017,M,9th through 12th grade with no diploma,2,476,24.6,3373.2
137,Alaska,AK,2017,M,High school graduate or GED completed,3,1575,26.5,3447.3
138,Alaska,AK,2017,M,"Some college credit, but not a degree",4,1400,28.1,3459.8
139,Alaska,AK,2017,M,"Associate degree (AA, AS)",5,424,29.8,3455.8
140,Alaska,AK,2017,M,"Bachelor's degree (BA, AB, BS)",6,926,31.4,3486.8
141,Alaska,AK,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,326,33.4,3512.2
142,Alaska,AK,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,92,34.4,3381.3
143,Alaska,AK,2017,M,Unknown or Not Stated,9,85,29.3,3337
144,Alaska,AK,2018,F,8th grade or less,1,36,28.1,3331.6
145,Alaska,AK,2018,F,9th through 12th grade with no diploma,2,439,24.6,3208.9
146,Alaska,AK,2018,F,High school graduate or GED completed,3,1430,26.5,3336.9
147,Alaska,AK,2018,F,"Some college credit, but not a degree",4,1242,28.2,3353.2
148,Alaska,AK,2018,F,"Associate degree (AA, AS)",5,408,30.1,3358.2
149,Alaska,AK,2018,F,"Bachelor's degree (BA, AB, BS)",6,838,31.4,3398
150,Alaska,AK,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,331,33.3,3408.3
151,Alaska,AK,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,96,34,3406.1
152,Alaska,AK,2018,F,Unknown or Not Stated,9,58,29.7,3298.1
153,Alaska,AK,2018,M,8th grade or less,1,27,28.8,3254.3
154,Alaska,AK,2018,M,9th through 12th grade with no diploma,2,441,25.2,3343.2
155,Alaska,AK,2018,M,High school graduate or GED completed,3,1591,26.5,3448
156,Alaska,AK,2018,M,"Some college credit, but not a degree",4,1314,28.3,3464.2
157,Alaska,AK,2018,M,"Associate degree (AA, AS)",5,430,30,3491.6
158,Alaska,AK,2018,M,"Bachelor's degree (BA, AB, BS)",6,899,31.3,3474.1
159,Alaska,AK,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.3,3499.7
160,Alaska,AK,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,113,34.3,3412.3
161,Alaska,AK,2018,M,Unknown or Not Stated,9,81,28.7,3247.4
162,Alaska,AK,2019,F,8th grade or less,1,35,29.8,3209.7
163,Alaska,AK,2019,F,9th through 12th grade with no diploma,2,385,25.2,3155.5
164,Alaska,AK,2019,F,High school graduate or GED completed,3,1421,26.6,3322.8
165,Alaska,AK,2019,F,"Some college credit, but not a degree",4,1191,28.2,3368.6
166,Alaska,AK,2019,F,"Associate degree (AA, AS)",5,365,30.3,3384.8
167,Alaska,AK,2019,F,"Bachelor's degree (BA, AB, BS)",6,801,31.6,3370
168,Alaska,AK,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,327,33.6,3353.8
169,Alaska,AK,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.2,3343.2
170,Alaska,AK,2019,F,Unknown or Not Stated,9,67,29.4,3358.9
171,Alaska,AK,2019,M,8th grade or less,1,33,29.8,3283.4
172,Alaska,AK,2019,M,9th through 12th grade with no diploma,2,445,25.1,3315.6
173,Alaska,AK,2019,M,High school graduate or GED completed,3,1580,26.9,3410
174,Alaska,AK,2019,M,"Some college credit, but not a degree",4,1255,28.3,3447.6
175,Alaska,AK,2019,M,"Associate degree (AA, AS)",5,411,30,3460.2
176,Alaska,AK,2019,M,"Bachelor's degree (BA, AB, BS)",6,874,31.6,3486.6
177,Alaska,AK,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,309,33,3481.3
178,Alaska,AK,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,110,34.8,3421.2
179,Alaska,AK,2019,M,Unknown or Not Stated,9,102,28.6,3233
180,Alaska,AK,2020,F,8th grade or less,1,22,28.9,3301.1
181,Alaska,AK,2020,F,9th through 12th grade with no diploma,2,370,25.8,3212.7
182,Alaska,AK,2020,F,High school graduate or GED completed,3,1472,26.7,3311.5
183,Alaska,AK,2020,F,"Some college credit, but not a degree",4,1143,28.4,3321.2
184,Alaska,AK,2020,F,"Associate degree (AA, AS)",5,389,30.3,3313.8
185,Alaska,AK,2020,F,"Bachelor's degree (BA, AB, BS)",6,786,31.3,3342.6
186,Alaska,AK,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,300,33.4,3327.7
187,Alaska,AK,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,114,34.4,3303.8
188,Alaska,AK,2020,F,Unknown or Not Stated,9,69,28,3205
189,Alaska,AK,2020,M,8th grade or less,1,31,29.2,3423.2
190,Alaska,AK,2020,M,9th through 12th grade with no diploma,2,365,26,3401.2
191,Alaska,AK,2020,M,High school graduate or GED completed,3,1522,26.7,3427.1
192,Alaska,AK,2020,M,"Some college credit, but not a degree",4,1157,28.4,3447.4
193,Alaska,AK,2020,M,"Associate degree (AA, AS)",5,424,30.2,3498.1
194,Alaska,AK,2020,M,"Bachelor's degree (BA, AB, BS)",6,793,31.5,3481.4
195,Alaska,AK,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,312,33.1,3452.3
196,Alaska,AK,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,116,34.3,3482.4
197,Alaska,AK,2020,M,Unknown or Not Stated,9,84,29.2,3255.4
198,Alaska,AK,2021,F,8th grade or less,1,31,28.2,3178.6
199,Alaska,AK,2021,F,9th through 12th grade with no diploma,2,323,24.6,3301
200,Alaska,AK,2021,F,High school graduate or GED completed,3,1366,26.9,3310
201,Alaska,AK,2021,F,"Some college credit, but not a degree",4,1096,28.4,3346.9
202,Alaska,AK,2021,F,"Associate degree (AA, AS)",5,369,30.6,3332.5
203,Alaska,AK,2021,F,"Bachelor's degree (BA, AB, BS)",6,804,31.4,3324.8
204,Alaska,AK,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,320,33.6,3334.7
205,Alaska,AK,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.4,3302.6
206,Alaska,AK,2021,F,Unknown or Not Stated,9,78,29.5,3060.2
207,Alaska,AK,2021,M,8th grade or less,1,29,30.5,3146
208,Alaska,AK,2021,M,9th through 12th grade with no diploma,2,389,25.1,3337.1
209,Alaska,AK,2021,M,High school graduate or GED completed,3,1482,26.7,3399.6
210,Alaska,AK,2021,M,"Some college credit, but not a degree",4,1161,28.4,3428.2
211,Alaska,AK,2021,M,"Associate degree (AA, AS)",5,383,30.2,3440.4
212,Alaska,AK,2021,M,"Bachelor's degree (BA, AB, BS)",6,893,31.7,3472.7
213,Alaska,AK,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,334,33.8,3486.5
214,Alaska,AK,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,98,33.9,3426.2
215,Alaska,AK,2021,M,Unknown or Not Stated,9,90,29.1,3251.2
216,Arizona,AZ,2016,F,8th grade or less,1,1373,29.8,3215
217,Arizona,AZ,2016,F,9th through 12th grade with no diploma,2,6069,24.8,3174.3
218,Arizona,AZ,2016,F,High school graduate or GED completed,3,10386,26.2,3218.4
219,Arizona,AZ,2016,F,"Some college credit, but not a degree",4,9871,27.7,3246.2
220,Arizona,AZ,2016,F,"Associate degree (AA, AS)",5,3589,29.4,3233.9
221,Arizona,AZ,2016,F,"Bachelor's degree (BA, AB, BS)",6,6783,31.1,3266.6
222,Arizona,AZ,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2459,32.7,3242.4
223,Arizona,AZ,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,745,33.5,3246.4
224,Arizona,AZ,2016,F,Unknown or Not Stated,9,239,27.6,3079.6
225,Arizona,AZ,2016,M,8th grade or less,1,1378,29.4,3309
226,Arizona,AZ,2016,M,9th through 12th grade with no diploma,2,6283,24.9,3280.5
227,Arizona,AZ,2016,M,High school graduate or GED completed,3,10905,26.2,3303.6
228,Arizona,AZ,2016,M,"Some college credit, but not a degree",4,10214,27.6,3349.6
229,Arizona,AZ,2016,M,"Associate degree (AA, AS)",5,3584,29.5,3369.7
230,Arizona,AZ,2016,M,"Bachelor's degree (BA, AB, BS)",6,7016,31.1,3399.4
231,Arizona,AZ,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2525,32.8,3377.1
232,Arizona,AZ,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,789,33.6,3315.4
233,Arizona,AZ,2016,M,Unknown or Not Stated,9,312,28.2,3247.8
234,Arizona,AZ,2017,F,8th grade or less,1,1226,29.5,3248.9
235,Arizona,AZ,2017,F,9th through 12th grade with no diploma,2,5726,25,3192.4
236,Arizona,AZ,2017,F,High school graduate or GED completed,3,10473,26.4,3204.5
237,Arizona,AZ,2017,F,"Some college credit, but not a degree",4,9479,27.9,3220.5
238,Arizona,AZ,2017,F,"Associate degree (AA, AS)",5,3344,29.8,3246.5
239,Arizona,AZ,2017,F,"Bachelor's degree (BA, AB, BS)",6,6392,31.2,3272.3
240,Arizona,AZ,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2601,32.8,3245.5
241,Arizona,AZ,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,759,33.6,3231.4
242,Arizona,AZ,2017,F,Unknown or Not Stated,9,273,28.3,3124.9
243,Arizona,AZ,2017,M,8th grade or less,1,1291,29.8,3300.8
244,Arizona,AZ,2017,M,9th through 12th grade with no diploma,2,5831,24.8,3271.5
245,Arizona,AZ,2017,M,High school graduate or GED completed,3,11019,26.3,3311.8
246,Arizona,AZ,2017,M,"Some college credit, but not a degree",4,9739,27.8,3346.8
247,Arizona,AZ,2017,M,"Associate degree (AA, AS)",5,3412,29.8,3360.9
248,Arizona,AZ,2017,M,"Bachelor's degree (BA, AB, BS)",6,6627,31.2,3395.9
249,Arizona,AZ,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2540,32.8,3351
250,Arizona,AZ,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,835,33.6,3363.6
251,Arizona,AZ,2017,M,Unknown or Not Stated,9,305,29.2,3218.5
252,Arizona,AZ,2018,F,8th grade or less,1,1172,29.5,3224.7
253,Arizona,AZ,2018,F,9th through 12th grade with no diploma,2,5420,24.9,3172.1
254,Arizona,AZ,2018,F,High school graduate or GED completed,3,10416,26.5,3197.5
255,Arizona,AZ,2018,F,"Some college credit, but not a degree",4,9098,28.1,3224.5
256,Arizona,AZ,2018,F,"Associate degree (AA, AS)",5,3364,29.6,3229.8
257,Arizona,AZ,2018,F,"Bachelor's degree (BA, AB, BS)",6,6494,31.2,3272.2
258,Arizona,AZ,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2507,32.8,3252.8
259,Arizona,AZ,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,739,34,3172
260,Arizona,AZ,2018,F,Unknown or Not Stated,9,179,28.4,3008.2
261,Arizona,AZ,2018,M,8th grade or less,1,1222,29.5,3286.6
262,Arizona,AZ,2018,M,9th through 12th grade with no diploma,2,5682,25.1,3269.5
263,Arizona,AZ,2018,M,High school graduate or GED completed,3,10887,26.5,3317.9
264,Arizona,AZ,2018,M,"Some college credit, but not a degree",4,9563,28,3343.4
265,Arizona,AZ,2018,M,"Associate degree (AA, AS)",5,3523,29.9,3360.1
266,Arizona,AZ,2018,M,"Bachelor's degree (BA, AB, BS)",6,6832,31.2,3379.4
267,Arizona,AZ,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2604,32.9,3356.8
268,Arizona,AZ,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,836,33.8,3321.6
269,Arizona,AZ,2018,M,Unknown or Not Stated,9,185,28.7,3118.8
270,Arizona,AZ,2019,F,8th grade or less,1,1083,29.6,3180.5
271,Arizona,AZ,2019,F,9th through 12th grade with no diploma,2,5085,25.1,3168.3
272,Arizona,AZ,2019,F,High school graduate or GED completed,3,10418,26.6,3204
273,Arizona,AZ,2019,F,"Some college credit, but not a degree",4,8830,28.2,3237.9
274,Arizona,AZ,2019,F,"Associate degree (AA, AS)",5,3384,29.9,3252
275,Arizona,AZ,2019,F,"Bachelor's degree (BA, AB, BS)",6,6529,31.2,3268
276,Arizona,AZ,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2479,32.8,3251
277,Arizona,AZ,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,753,34.1,3222.6
278,Arizona,AZ,2019,F,Unknown or Not Stated,9,138,28.4,2953.7
279,Arizona,AZ,2019,M,8th grade or less,1,1164,29.8,3335.9
280,Arizona,AZ,2019,M,9th through 12th grade with no diploma,2,5265,25.1,3287.7
281,Arizona,AZ,2019,M,High school graduate or GED completed,3,10875,26.6,3305.6
282,Arizona,AZ,2019,M,"Some college credit, but not a degree",4,9419,28.2,3334.3
283,Arizona,AZ,2019,M,"Associate degree (AA, AS)",5,3419,29.8,3368.7
284,Arizona,AZ,2019,M,"Bachelor's degree (BA, AB, BS)",6,6937,31.2,3380.2
285,Arizona,AZ,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2594,33,3368.6
286,Arizona,AZ,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,803,34,3304
287,Arizona,AZ,2019,M,Unknown or Not Stated,9,200,29.1,3049.9
288,Arizona,AZ,2020,F,8th grade or less,1,981,29.6,3195.8
289,Arizona,AZ,2020,F,9th through 12th grade with no diploma,2,4665,25.2,3170.1
290,Arizona,AZ,2020,F,High school graduate or GED completed,3,10275,26.7,3206.2
291,Arizona,AZ,2020,F,"Some college credit, but not a degree",4,8564,28.4,3235.5
292,Arizona,AZ,2020,F,"Associate degree (AA, AS)",5,3285,29.9,3248.6
293,Arizona,AZ,2020,F,"Bachelor's degree (BA, AB, BS)",6,6563,31.2,3274.3
294,Arizona,AZ,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2449,32.9,3220.5
295,Arizona,AZ,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,813,33.9,3211.5
296,Arizona,AZ,2020,F,Unknown or Not Stated,9,179,28.9,3014.9
297,Arizona,AZ,2020,M,8th grade or less,1,977,29.4,3261.8
298,Arizona,AZ,2020,M,9th through 12th grade with no diploma,2,4888,25.2,3267.6
